0,39.5,0.5,12.0,0.0,0.0,0.0
250,39.75,0.83,13.0,0.0,0.0,0.0
500,40.0,1.0,12.67,0.47,0.0,0.0
750,40.0,0.71,12.5,0.5,1.0,0.0
1000,40.0,0.82,12.5,0.87,1.5,0.5
1250,40.0,1.0,12.0,0.0,1.75,0.43
1500,40.0,0.82,12.0,0.0,2.0,0.71
1750,40.25,0.83,12.0,0.0,1.0,0.0
2000,40.0,0.82,12.0,0.0,1.0,0.0
2250,39.75,0.83,12.0,0.0,1.0,0.0
2500,40.0,0.71,12.25,0.43,1.0,0.0
2750,40.0,0.71,12.0,0.0,1.0,0.0
3000,40.0,1.0,12.0,0.0,1.0,0.0
3250,39.75,0.83,12.67,0.94,1.33,0.47
3500,39.67,0.47,12.25,0.43,1.0,0.0
3750,40.0,1.0,12.5,0.5,1.0,0.0
4000,40.0,1.0,12.67,0.47,0.0,0.0
4250,40.0,1.0,12.33,0.47,1.0,0.0
4500,40.0,1.0,12.25,0.43,0.0,0.0
4750,40.0,0.71,12.0,0.0,0.0,0.0
5000,40.0,1.0,12.0,0.0,0.0,0.0
5250,40.25,0.83,12.67,0.47,0.0,0.0
5500,40.0,1.0,12.5,0.5,0.0,0.0
5750,39.75,0.83,12.5,0.5,0.0,0.0
6000,40.33,0.94,12.0,0.0,1.0,0.0
6250,39.75,0.83,12.0,0.0,1.0,0.0
6500,40.0,0.71,12.0,0.0,1.33,0.47
6750,40.0,0.82,12.0,0.0,2.0,0.0
7000,40.0,1.0,12.0,0.0,1.0,0.0
7250,40.0,1.0,12.0,0.0,1.0,0.0
7500,40.0,0.82,12.0,0.0,2.0,0.0
7750,39.75,0.83,12.25,0.43,1.0,0.0
8000,40.0,1.0,13.0,0.0,0.0,0.0
8250,39.33,0.47,13.33,0.47,0.0,0.0
8500,39.75,0.83,12.67,0.47,1.0,0.0
8750,40.33,0.94,12.0,0.0,1.0,0.0
9000,40.0,1.0,12.0,0.0,1.0,0.0
9250,39.67,0.94,12.33,0.47,1.5,0.5
9500,40.33,0.47,12.33,0.47,1.0,0.0
9750,40.0,0.82,12.0,0.0,1.67,0.47
10000,40.0,1.0,12.0,0.0,1.33,0.47
